Query,Response
Track my order ORD4320.,Your order with ID ORD4466 is currently in transit and expected to be delivered by 27/12/2024. You can track it using the tracking link sent to your email.
When will my order ORD2982 be delivered?,Your order with ID ORD8219 is currently in transit and expected to be delivered by 1/12/2024. You can track it using the tracking link sent to your email.
When will my order ORD8489 be delivered?,Your order with ID ORD3250 is currently in transit and expected to be delivered by 21/12/2024. You can track it using the tracking link sent to your email.
Where is my order with ID ORD2851?,Your order with ID ORD1228 is currently in transit and expected to be delivered by 5/12/2024. You can track it using the tracking link sent to your email.
Where is my order with ID ORD7212?,Your order with ID ORD1805 is currently in transit and expected to be delivered by 9/12/2024. You can track it using the tracking link sent to your email.
Where is my order with ID ORD7598?,Your order with ID ORD5327 is currently in transit and expected to be delivered by 7/12/2024. You can track it using the tracking link sent to your email.
Track my order ORD5999.,Your order with ID ORD1564 is currently in transit and expected to be delivered by 11/12/2024. You can track it using the tracking link sent to your email.
Where is my order with ID ORD1607?,Your order with ID ORD8224 is currently in transit and expected to be delivered by 4/12/2024. You can track it using the tracking link sent to your email.
When will my order ORD5812 be delivered?,Your order with ID ORD7954 is currently in transit and expected to be delivered by 1/12/2024. You can track it using the tracking link sent to your email.
Track my order ORD4327.,Your order with ID ORD9838 is currently in transit and expected to be delivered by 19/12/2024. You can track it using the tracking link sent to your email.
Can I get a refund for the Product40?,"We have initiated your refund request for order ORD7730. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD7700.,"We have initiated your refund request for order ORD6788. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product27?,"We have initiated your refund request for order ORD7010. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD4899.,"We have initiated your refund request for order ORD1735. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product39?,"We have initiated your refund request for order ORD7293. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD4424?,"We have initiated your refund request for order ORD4749. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product76?,"We have initiated your refund request for order ORD1743. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD5546?,"We have initiated your refund request for order ORD6004. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD8034.,"We have initiated your refund request for order ORD7917. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD4006?,"We have initiated your refund request for order ORD3016. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD5816.,"We have initiated your refund request for order ORD5087. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD1503?,"We have initiated your refund request for order ORD6852. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD1838.,"We have initiated your refund request for order ORD9229. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD8549.,"We have initiated your refund request for order ORD5311. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product91?,"We have initiated your refund request for order ORD8248. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product99?,"We have initiated your refund request for order ORD9909. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD3666?,"We have initiated your refund request for order ORD6591. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD6965?,"We have initiated your refund request for order ORD8598. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD3139.,"We have initiated your refund request for order ORD7782. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD5001?,"We have initiated your refund request for order ORD8582. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product19?,"We have initiated your refund request for order ORD9486. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD3282.,"We have initiated your refund request for order ORD7934. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product82?,"We have initiated your refund request for order ORD1063. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product53?,"We have initiated your refund request for order ORD9905. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD8915.,"We have initiated your refund request for order ORD4339. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD9379?,"We have initiated your refund request for order ORD1569. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD9340.,"We have initiated your refund request for order ORD9133. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD8035?,"We have initiated your refund request for order ORD5798. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product14?,"We have initiated your refund request for order ORD1263. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD6816?,"We have initiated your refund request for order ORD3923. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD5822?,"We have initiated your refund request for order ORD4458. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD8026.,"We have initiated your refund request for order ORD5630. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product59?,"We have initiated your refund request for order ORD1160. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD1645.,"We have initiated your refund request for order ORD3856. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product75?,"We have initiated your refund request for order ORD8071. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD8320?,"We have initiated your refund request for order ORD9483. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD6283.,"We have initiated your refund request for order ORD4486. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD5838?,"We have initiated your refund request for order ORD3875. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD3858.,"We have initiated your refund request for order ORD9651. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product49?,"We have initiated your refund request for order ORD6534. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD5584.,"We have initiated your refund request for order ORD4057. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD2711.,"We have initiated your refund request for order ORD2088. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD9494?,"We have initiated your refund request for order ORD6192. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD2213.,"We have initiated your refund request for order ORD7408. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD4131.,"We have initiated your refund request for order ORD4761. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD4915?,"We have initiated your refund request for order ORD2402. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD4350?,"We have initiated your refund request for order ORD2082. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product27?,"We have initiated your refund request for order ORD3332. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD7282.,"We have initiated your refund request for order ORD9645. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product56?,"We have initiated your refund request for order ORD8960. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD8306.,"We have initiated your refund request for order ORD7357. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product97?,"We have initiated your refund request for order ORD4467. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product38?,"We have initiated your refund request for order ORD9022. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product42?,"We have initiated your refund request for order ORD2818. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product87?,"We have initiated your refund request for order ORD3141. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product21?,"We have initiated your refund request for order ORD2797. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD5541.,"We have initiated your refund request for order ORD9104. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product97?,"We have initiated your refund request for order ORD5874. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD2356.,"We have initiated your refund request for order ORD3725. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product40?,"We have initiated your refund request for order ORD8084. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD5777?,"We have initiated your refund request for order ORD2551. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD1439?,"We have initiated your refund request for order ORD3050. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product30?,"We have initiated your refund request for order ORD2796. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD8005.,"We have initiated your refund request for order ORD7459. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product26?,"We have initiated your refund request for order ORD2397. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product71?,"We have initiated your refund request for order ORD7282. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product64?,"We have initiated your refund request for order ORD2479. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD4934?,"We have initiated your refund request for order ORD7756. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD3703?,"We have initiated your refund request for order ORD9981. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD9967.,"We have initiated your refund request for order ORD4900. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD5079?,"We have initiated your refund request for order ORD6012. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD3851?,"We have initiated your refund request for order ORD4283. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD5050?,"We have initiated your refund request for order ORD8569. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD8423?,"We have initiated your refund request for order ORD9206. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD7341.,"We have initiated your refund request for order ORD7778. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD8767?,"We have initiated your refund request for order ORD8982. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD4071.,"We have initiated your refund request for order ORD1032. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD5964.,"We have initiated your refund request for order ORD2673. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD3652.,"We have initiated your refund request for order ORD3305. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product1?,"We have initiated your refund request for order ORD3994. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product68?,"We have initiated your refund request for order ORD9164. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product25?,"We have initiated your refund request for order ORD5658. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product44?,"We have initiated your refund request for order ORD4073. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD5138?,"We have initiated your refund request for order ORD9879. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD8559.,"We have initiated your refund request for order ORD2376. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD6513?,"We have initiated your refund request for order ORD7616. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD4070?,"We have initiated your refund request for order ORD4466. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD7338.,"We have initiated your refund request for order ORD6664. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD4586?,"We have initiated your refund request for order ORD8813. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD7549.,"We have initiated your refund request for order ORD7925. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
Why hasn't my refund been processed for order ORD5326?,"We have initiated your refund request for order ORD5257. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product75?,"We have initiated your refund request for order ORD5978. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD5895.,"We have initiated your refund request for order ORD4291. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product79?,"We have initiated your refund request for order ORD7507. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD7856.,"We have initiated your refund request for order ORD5001. The amount will be credited to your Credit Card within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD9306.,"We have initiated your refund request for order ORD9695. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
Can I get a refund for the Product95?,"We have initiated your refund request for order ORD6764. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD3021.,"We have initiated your refund request for order ORD2528. The amount will be credited to your Net Banking within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD6594.,"We have initiated your refund request for order ORD9295. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
I want a refund for my order ORD3364.,"We have initiated your refund request for order ORD3421. The amount will be credited to your UPI within 5-7 business days. If you have further questions, feel free to ask."
What is the process for returning a product?,"To return your product 'Product68', please visit our return portal and provide your order ID ORD5355. You can schedule a pickup at your convenience."
How can I return my Product75?,"To return your product 'Product82', please visit our return portal and provide your order ID ORD3622. You can schedule a pickup at your convenience."
How can I return my Product42?,"To return your product 'Product37', please visit our return portal and provide your order ID ORD1097. You can schedule a pickup at your convenience."
